,Index,Title,Artist,Like,Top.Genre,Year,Beats.Per.Minute..BPM.,Energy,Danceability,Loudness..dB.,Liveness,Valence,Length..Duration.,Acousticness,Speechiness,Popularity
163,163,Moonlight Shadow,Mike Oldfield,0,album rock,2009,129,72,61,-8,36,80,218,29,3,64
409,409,I Follow Rivers - Live @ Giel!,Triggerfinger,0,belgian rock,2010,110,41,67,-9,3,71,214,15,6,42
173,173,The Man Who Can't Be Moved,The Script,1,celtic rock,2008,100,63,61,-5,10,33,241,43,3,64
468,468,I Won' T Let You Down,Road Band,0,pop,2011,106,35,64,-14,7,59,233,54,3,33
489,489,I Will Wait,Mumford & Sons,0,modern folk rock,2012,131,76,48,-5,31,45,277,1,3,69
730,730,I Want To Break Free,Queen,1,glam rock,2018,109,41,81,-9,8,50,223,11,4,59
755,755,Vluchten Kan Niet Meer,Frans Halsema,0,dutch rock,2018,87,25,41,-13,38,32,221,74,3,17
712,712,Supermarket Flowers,Ed Sheeran,1,pop,2017,90,24,59,-11,9,26,221,91,4,78
100,100,Motorcycle Emptiness,Manic Street Preachers,0,alternative rock,2002,112,81,53,-4,16,21,306,0,3,39
57,57,Sometimes You Can't Make It On Your Own,U2,0,irish rock,2004,96,60,53,-6,11,35,305,0,2,57
35,35,Tears Dry On Their Own,Amy Winehouse,0,british soul,2006,122,87,64,-3,29,45,185,49,12,72
34,34,Don't Know Why,Norah Jones,0,adult standards,2002,88,20,73,-12,7,62,186,88,3,74
775,775,One Kiss (with Dua Lipa),Calvin Harris,1,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
199,199,Dakota,Stereophonics,0,britpop,2005,147,93,51,-3,9,31,297,13,7,68
136,136,You Know I'm No Good,Amy Winehouse,0,british soul,2006,103,81,71,-4,7,73,257,1,3,74
623,623,Hymn for the Weekend,Coldplay,0,permanent wave,2015,90,74,49,-5,30,36,259,26,4,78
540,540,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,1,electro,2013,116,81,79,-9,10,86,248,4,4,77
165,165,Uprising,Muse,0,modern rock,2009,128,91,60,-4,12,41,305,0,8,76
392,392,Clocks,Coldplay,0,permanent wave,2002,131,75,58,-7,18,26,308,60,3,76
565,565,Streets,Kensington,0,dutch pop,2014,168,77,38,-6,27,42,185,0,4,57
779,779,Roller Coaster,Danny Vera,0,dutch americana,2019,97,38,40,-10,12,28,270,51,3,70
31,31,The Scientist,Coldplay,1,permanent wave,2002,146,44,56,-7,11,21,310,73,2,84
271,271,Snow (Hey Oh),Red Hot Chili Peppers,0,alternative rock,2006,105,90,43,-4,12,60,335,12,5,80
511,511,Babel,Mumford & Sons,0,modern folk rock,2012,80,81,37,-6,8,65,209,3,5,57
269,269,Teardrops,Womack & Womack,0,disco,2001,133,72,87,-10,18,97,229,9,5,61
319,319,Hey Jude,The Beatles,1,british invasion,2006,74,63,46,-7,40,59,239,9,2,63
132,132,Red Mij Niet - Single Edit,Maarten Van Roozendaal,0,dutch indie,2001,119,38,52,-9,10,13,270,76,4,36
302,302,Like a Prayer,Madonna,0,dance pop,2009,111,84,62,-5,18,26,343,26,4,71
190,190,Heavy Cross,Gossip,0,alternative dance,2009,120,69,79,-4,14,22,243,8,3,59
424,424,Need You Now,Lady Antebellum,0,contemporary country,2010,108,72,58,-4,24,32,236,3,3,53
664,664,Mooi,Marco Borsato,0,dutch cabaret,2016,150,43,49,-8,12,31,315,10,3,59
355,355,Hallelujah,Lisa Lois,0,dutch pop,2009,182,24,19,-13,11,11,226,24,3,49
716,716,Pain,The War On Drugs,0,chamber pop,2017,116,83,52,-4,8,48,331,0,4,62
